id,no_unit,nama_unit,aset,cap_on,aset_desc,acq_val,bulan,depre
3395,DT 39,Dump Truck 39,150329,2022-07-25,Mitsubishi FE SHD-X136PS MHMFE75PRNK043242 PO 0349,441466667,2025-03-31,-151754166.7812502
3396,DT 40,Dump Truck 40,150330,2022-07-25,Mitsubishi FE SHD-X136PS MHMFE75PRNK042369 PO 0349,441466667,2025-03-31,-151754166.7812502
3397,DT 41,Dump Truck 41,150331,2022-07-25,Mitsubishi FE SHD-X136PS MHMFE75PRNK042376 PO 0349,441466667,2025-03-31,-151754166.7812502
3398,DT 42,Dump Truck 42,150332,2022-07-25,Mitsubishi FE SHD-X136PS MHMFE75PRNK042390 PO 0349,441466667,2025-03-31,-151754166.7812502
3399,DT 43,Dump Truck 43,150333,2022-07-25,Mitsubishi FE SHD-X136PS MHMFE75PRNK042393 PO 0349,441466667,2025-03-31,-151754166.7812502
3400,DT 44,Dump Truck 44,150334,2022-07-25,Mitsubishi FE SHD-X136PS MHMFE75PRNK042398 PO 0349,441466667,2025-03-31,-151754166.7812502
3401,DT 45,Dump Truck 45,150335,2022-07-25,Mitsubishi FE SHD-X136PS MHMFE75PRNK042402 PO 0349,441466667,2025-03-31,-151754166.7812502
3402,KB 8420 VB,Mobil KB 8420 VB,150336,2022-08-04,Ambulance Toyota Hilux 2.4 MR0DB8CB7M0111093 PO546,476700000,2025-03-31,-158900000.0
3403,KB 8449 VB,Mobil KB 8449 VB,150337,2022-09-19,Toyota Hilux Single Cabin MR0DB8CB9-N0112067 PO548,357180180,2025-03-31,-115339433.125
3404,KB 8461 VB,Mobil KB 8461 VB,150338,2022-09-19,Toyota Hilux Single Cabin MR0DB8CB6-N0112138 PO555,357180180,2025-03-31,-115339433.125
3405,KB 1923 VB,Mobil KB 1923 VB,150339,2022-09-19,Toyota Fortuner 2.8 VRZ MHFBA3FS4-N1047649 PO 0512,648756757,2025-03-31,-209494369.44791687
3406,CP 05,Compactor 05,150340,2022-10-19,Compactor CAT CS10GC/Sun Canopy T8F00406 PO 0346,840000000,2025-03-31,-262500000.0
3407,KB 8475 VB,Mobil KB 8475 VB,150341,2022-11-16,Toyota Hilux Double Cabin MR0KB8CD7-N1135043 PO547,431891892,2025-03-31,-130467342.375
3408,KB 8478 VB,Mobil KB 8478 VB,150342,2022-11-16,Toyota Hilux Double Cabin MR0KB8CD7-N1134989 PO550,431891892,2025-03-31,-130467342.375
3409,KB 8476 VB,Mobil KB 8476 VB,150343,2022-11-16,Toyota Hilux Double Cabin MR0KB8CD0-N1135160 PO551,431891892,2025-03-31,-130467342.375
3410,KB 8477 VB,Mobil KB 8477 VB,150344,2022-11-16,Toyota Hilux Double Cabin MR0KB8CD0-N1134638 PO552,431891892,2025-03-31,-130467342.375
3411,BD 04,Buldozer 04,150345,2022-12-05,Komatsu Bulldozer D68E-SS-12E0/S1 J20825 PO 0329,2935000000,2025-03-31,-856041666.6666664
3412,CL 03,Crawler 03,150346,2022-12-23,Crawler Dump Artrac 2000D C22904267 PO 0381,267000000,2025-03-31,-77875000.0
3413,CL 04,Crawler 04,150347,2022-12-23,Crawler Dump Artrac 2000D C22904268 PO 0381,267000000,2025-03-31,-77875000.0
3414,KB 8625 VB,Mobil KB 8625 VB,150348,2022-12-23,Toyota Hilux Double Cabin MR0KB8CD4-N1137154 PO553,439729730,2025-03-31,-128254504.58333348
3415,Exca 24,Excavator 24,150349,2023-04-01,Excavator 323GCHEX CAT00323EFJM10674 PO 0258,2090400000,2025-03-31,-522600000.0
3416,KB 8626 VB,Mobil KB 8626 VB,150350,2023-07-24,Toyota Hilux Double Cabin MR0KB8CD9-N1137599 PO554,471729730,2025-03-31,-103190878.4375
3417,BD 05,Buldozer Mini 05,150351,2023-09-20,Komatsu Mini Bulldozer D31EX-22 SAAAD95LE-5 PO 982,1490000000,2025-03-31,-294895833.3333334
3418,0,0,150358,2023-12-22,Compactor CAT CS 533E TJL-01101 No. 3054,150000000,2025-03-31,-25000000.0
3419,MG 02 PT. PAM,Motor Greader 02 PT. PAM,150359,2023-12-22,Motor Grader Caterpillar 120K PSZN-00568 KHX:32420,250000000,2025-03-31,-41666666.66666667
3420,Exca 11 PT. PAM,Excavator Mini 11 PT. PAM,150360,2023-12-22,Excavator Hitachi L3730 AFA90A00022652,481250000,2025-03-31,-80208333.33333334
3421,Exca 12 PT. PAM,Excavator Mini 12 PT. PAM,150361,2023-12-22,Excavator Hitachi LN3749 AFA90P00022658,495625000,2025-03-31,-82604166.66666666
3422,Exca 13 PT. PAM,Excavator Mini 13 PT. PAM,150362,2023-12-22,Excavator Hitachi N4287 AFA90L00022667,495625000,2025-03-31,-82604166.66666666
3423,BD 04 PT. PAM,Buldozer Mini 04 PT. PAM,150363,2023-12-22,Bulldozer CAT D1 XL XKF00242 D3600597,1114010417,2025-03-31,-185668402.8333332
3424,QT 01,Quick Tractor 01,150364,2024-05-28,Quick Tractor QT-16E  SL B2300153/KIAPJ2065,128558559,2025-03-31,-14730668.21875
3425,QT 03,Quick Tractor 03,150365,2024-05-28,Quick Tractor QT-16E  SL B2300070/KIANW2531,128558559,2025-03-31,-14730668.21875
3426,QT 02,Quick Tractor 02,150366,2024-05-28,Quick Tractor QT-16E  SL B2300137/KIAPE1360,128558559,2025-03-31,-14730668.21875
3427,CL 05,Crawler 05,150367,2024-07-16,Atrack Crawler Dump 2000D // C12907019A,184947917,2025-03-31,-17338867.218750004
3428,CL 06,Crawler 06,150368,2024-07-16,Atrack Crawler Dump 2000D // C12803619A,198750000,2025-03-31,-18632812.5
3429,CL 07,Crawler 07,150369,2024-07-16,Atrack Crawler Dump 2000D // C13606566A,198750000,2025-03-31,-18632812.5
3430,DT 19,Dump Truck 19,150370,2024-09-10,Bak Self Loader Mini Tronton Hino KB8661VA WO:0027,155000000,2025-03-31,-1614583.3333333333
3431,WT 03,Wheel Tractor 03,150098,2008-05-30,TRACTOR JOHN DEERE TYPE 5715 4 WD (J04045T420575),309230625,2024-09-30,-309230625.0
3432,BD 01,Buldozer 01,150104,2008-08-25,KOMATSU BULDOZER D68 ESS-12 (J10856),1487590454,2024-09-30,-1487590454.0
3433,KB 9716 V,Mobil KB 9716 V,150110,2008-10-17,MITSUBISHI STRADA TRITON 2.8L GLX (4M40UAB2700),261000000,2024-09-30,-261000000.0
3434,DAMKAR 01,Damkar 01,150111,2008-10-17,MITSUBISHI FE 74 (125PS) 6 Ban,194000000,2024-09-30,-194000000.0
3435,WT 04,Wheel Tractor 04,150112,2008-10-17,JOHN DEERE JD 5715 4 WD (PE4045T722198),232638615,2024-09-30,-232638615.0
3436,0,0,150113,2009-01-02,Selisih Kurs Pembelian Alat Berat,94120676,2024-09-30,-94120676.0
3437,0,0,150114,2009-01-02,Selisih Kurs Pembelian Alat Berat,8276400,2024-09-30,-8276400.0
3438,0,0,150118,2009-02-19,Trailer non Tipping (Body Kayu),23000000,2024-09-30,-23000000.0
3439,0,0,150119,2009-03-25,KOMATSU HIDRAULIC EXAVATOR PC 200-7 (C77934),940000000,2024-09-30,-940000000.0
3440,0,0,150120,2009-03-25,PPN Masukan,94000000,2024-09-30,-94000000.0
3441,WT 06,Wheel Tractor 06,150122,2009-04-14,TRACTOR JOHN DEERE TYPE 5715 4 WD 92,297395178,2024-09-30,-297395178.0
3442,WT 07,Wheel Tractor 07,150123,2009-04-14,TRACTOR JOHN DEERE TYPE 5715 4 WD 92,297395178,2024-09-30,-297395178.0
3443,WT 09,Wheel Tractor 09,150124,2009-04-14,TRACTOR JOHN DEERE TYPE 5715 4 WD 92,297395178,2024-09-30,-297395178.0
3444,WT 10,Wheel Tractor 10,150125,2009-04-14,TRACTOR JOHN DEERE TYPE 5715 4 WD 92,297395178,2024-09-30,-297395178.0
3445,WT 11,Wheel Tractor 11,150126,2009-04-14,TRACTOR JOHN DEERE TYPE 5715 4 WD 92,297395178,2024-09-30,-297395178.0
3446,0,0,150127,2009-04-14,PPN Masukan,177333732,2024-09-30,-177333732.0
3447,0,0,150129,2009-05-19,Mitsubishi Strada Triton 2.8 L GLX (4M40UAB3628),289650000,2024-09-30,-289650000.0
3448,CP 01,0,150130,2009-05-19,Vibrating Roller Sakai SV512D-H,747124620,2024-09-30,-747124620.0
3449,MG 02,0,150131,2009-05-19,Komatsu Motor Grader (GD. 02),1543743300,2024-09-30,-1543743300.0
3450,0,0,150132,2009-09-15,Howard Rotaslasher HS 24/150,32091400,2024-09-30,-32091400.0
3451,0,0,150133,2010-09-24,Trailer Bak Kayu Kapasitas 5 ton,25000000,2024-09-30,-25000000.0
3452,0,0,150134,2010-09-24,Trailer Bak Kayu Kapasitas 5 ton,25000000,2024-09-30,-25000000.0
3453,0,0,150135,2010-09-24,Trailer Bak Kayu Kapasitas 5 ton,25000000,2024-09-30,-25000000.0
3454,0,0,150138,2011-03-16,Tipping Trailer Besi,38293841,2024-09-30,-38293841.0
3455,0,0,150139,2011-03-16,Tipping Trailer Besi,38293841,2024-09-30,-38293841.0
3456,0,0,150140,2011-03-16,Tipping Trailer Besi,38293841,2024-09-30,-38293841.0
3457,WT 12,Wheel Tractor 12,150141,2011-07-18,Tractor JD 5715 PE4045T821579,298449626,2024-09-30,-298449626.0
3458,WT 13,Wheel Tractor 13,150142,2011-07-18,Tractor JD 5715 PE4045T821574,299831125,2024-09-30,-299831125.0
3459,WT 14,Wheel Tractor 14,150143,2011-07-18,Tractor JD 5715 PE4045T821589,298449626,2024-09-30,-298449626.0
3460,WT 15,Wheel Tractor 15,150144,2011-07-18,Tractor JD 5715 PE4045T819667,299831125,2024-09-30,-299831125.0
3461,0,0,150145,2011-10-19,Tangki Trailer Semprot,34790355,2024-09-30,-34790355.0
3462,0,0,150146,2011-12-30,Trackling Exc 01,134600210,2024-09-30,-134600210.0
3463,0,0,150148,2012-02-23,Toyota Hilux Type G (2KDS005619),348260573,2024-09-30,-348260573.0
3464,0,0,150149,2012-02-23,Toyota Hilux Type E (2KD8861991),323496082,2024-09-30,-323496082.0
3465,0,0,150150,2012-06-12,Motor Kawasaki KLX  1505,24600000,2024-09-30,-24600000.0
3466,WT 16,Wheel Tractor 16,150151,2012-06-25,Tractor JD 5715 (PE4045T861684),347209500,2024-09-30,-347209500.0
3467,0,0,150152,2012-07-10,Tiping Trailer,39558333,2024-09-30,-39558333.0
3468,0,0,150153,2012-07-10,Tiping Trailer,39990477,2024-09-30,-39990477.0
3469,0,0,150154,2012-07-10,Tiping Trailer,39990477,2024-09-30,-39990477.0
3470,0,0,150155,2012-07-10,Tiping Trailer,39990477,2024-09-30,-39990477.0
3471,BD 02,Buldozer Mini 02,150156,2012-07-31,Mini Bulldozer Komatsu,1064777982,2024-09-30,-1064777982.0
3472,WT 17,Wheel Tractor 17,150157,2012-08-29,Tractor JD 5715 E/N: PE4045T868501,340656738,2024-09-30,-340656738.0
3473,WT 18,Wheel Tractor 18,150158,2012-08-29,Tractor JD 5715 E/N: PE4045T859394,340656738,2024-09-30,-340656738.0
3474,KB 7015 V,Mobil KB 7015 V,150159,2013-01-09,Isuzu Elf Microbus NKR55 16 Seat,256349545,2024-09-30,-256349545.0
3475,BD 03,Buldozer Mini 03,150160,2013-01-18,Komatsu Bulldozer D31E-20,1059051043,2024-09-30,-1059051043.0
3476,0,0,150161,2013-03-08,Scissor Lift Trailer Kapasitas 2 Ton Hydraulic,67060052,2024-09-30,-67060052.0
3477,0,0,150162,2013-04-01,Tipping Trailer Kapasitas 5 Ton,40400000,2024-09-30,-40400000.0
3478,0,0,150163,2013-04-01,Tipping Trailer Kapasitas 5 Ton,39822946,2024-09-30,-39822946.0
3479,0,0,150164,2013-04-01,Tipping Trailer Kapasitas 5 Ton,39822946,2024-09-30,-39822946.0
3480,0,0,150165,2013-04-24,Toyota Hilux Double Cabin G M/T Diesel-KB 1132 XX,350471492,2024-09-30,-350471492.0
3481,0,0,150166,2013-04-24,Toyota Hilux Double Cabin G M/T Diesel-KB 1135 XX,350471492,2024-09-30,-350471492.0
3482,0,0,150167,2014-03-18,Bak Dump Besi Standard utk Truck MIT Canter,44000000,2024-09-30,-44000000.0
3483,0,0,150168,2014-03-18,Tipping Trailer Kapasitas 5 Ton,42700000,2024-09-30,-42700000.0
3484,0,0,150169,2014-03-18,Delete,0,2024-09-30,0.0
3485,0,0,150170,2014-03-18,Tipping Trailer Kapasitas 5 Ton,41873675,2024-09-30,-41873675.0
3486,0,0,150171,2014-03-18,Tipping Trailer Kapasitas 5 Ton,42700000,2024-09-30,-42700000.0
3487,0,0,150172,2014-03-18,Tipping Trailer Kapasitas 5 Ton,42700000,2024-09-30,-42700000.0
3488,0,0,150173,2014-03-18,Tipping Trailer Kapasitas 5 Ton,41873675,2024-09-30,-41873675.0
3489,0,0,150174,2014-03-18,Tipping Trailer Kapasitas 5 Ton,41873675,2024-09-30,-41873675.0
3490,KB 1582 VA,Mobil KB 1582 VA,150176,2014-10-27,Toyota New Fortuner 2.5 G A/T 4X4 DIESEL Thn 2014,474050064,2024-09-30,-474050064.0
3491,0,0,150177,2014-11-21,Trailer Tangki Air Semprot Kapasitas 5 Ton,46894179,2024-09-30,-46894179.0
3492,BL 01,0,150178,2016-07-11,Backhoe Loader,1005126216,2024-09-30,-1005126216.0
3493,0,0,150179,2008-03-02,TANGKI SOLAR KAPASITAS 6000 LITER & AKSESORIS,13750000,2024-09-30,-13750000.0
3494,0,0,150180,2008-08-01,Motor KTM POWER PRIMA,8650000,2024-09-30,-8650000.0
3495,0,0,150181,2008-08-01,Motor KTM POWER PRIMA,8650000,2024-09-30,-8650000.0
3496,0,0,150182,2008-08-01,Motor KTM POWER PRIMA,8650000,2024-09-30,-8650000.0
3497,0,0,150183,2008-08-01,Motor KTM POWER PRIMA,8650000,2024-09-30,-8650000.0
3498,0,0,150184,2009-09-03,Motor Kawasaki KLX,24100000,2024-09-30,-24100000.0
3499,0,0,150185,2009-09-03,Motor Kawasaki KLX,24100000,2024-09-30,-24100000.0
3500,0,0,150186,2014-01-29,Toyota Hilux DC G M/T 2.5 Diesel Silver Metalic,351029380,2024-09-30,-351029380.0
3501,0,0,150187,2014-01-29,Ban Luar 31 - 10.5 R15 D673,5235523,2024-09-30,-5235523.0
3502,0,0,150188,2014-01-29,Kaca Film Toyota Hilux Double Cabin V-Kool,6682123,2024-09-30,-6682123.0
3503,KB 8233 VA,Mobil KB 8233 VA,150192,2018-11-10,HILUX 2018 EXTRA CABIN NO.RK/MSN J4170287/0505089,307636364,2024-09-30,-227522751.0
3504,KB 8235 VA,Mobil KB 8235 VA,150193,2018-11-09,HILUX 2018 EXTRA CABIN NO.RK/MSN J4170284/4513152,307636364,2024-09-30,-227522751.0
3505,KB 8234 VA,Mobil KB 8234 VA,150194,2018-11-09,HILUX 2018 EXTRA CABIN NO.RK/MSN J4170289/0505399,307636364,2024-09-30,-227522751.0
3506,WT 19,Wheel Tractor 19,150195,2018-12-10,TRACTOR JD NO.RK/MSN 15XHJ0036305/PE4045E009693,598000000,2024-09-30,-436041638.0
3507,WT 20,Wheel Tractor 20,150196,2018-12-10,TRACTOR JD NO.RK/MSN 15XEJ0036306/PE4045E009753,598000000,2024-09-30,-436041638.0
3508,WT 21,Wheel Tractor 21,150197,2018-12-10,TRACTOR JD NO.RK/MSN 15XCJ0036307/PE4045E009694,598000000,2024-09-30,-436041638.0
3509,DT 07,Dump Truck 07,150198,2019-01-01,Hino Dutro No.R/Msn :MJECIJG43J5173895/W04DTR63691,332638545,2024-09-30,-239083961.0
3510,DT 06,Dump Truck 06,150199,2019-01-01,Hino Dutro No.R/Msn:MJECIJG43J5173894/W04DTRR63650,332638545,2024-09-30,-239083961.0
3511,DT 05,Dump Truck 05,150200,2019-01-01,Hino Dutro No.R/Msn:MJECIJG43J5173893/W04DTRR63649,332638545,2024-09-30,-239083961.0
3512,DT 04,Dump Truck 04,150201,2019-01-01,Hino Dutro No.R/Msn:MJECIJG43J5173892/W04DTRR63648,332638545,2024-09-30,-239083961.0
3513,BL 03,Backho Loader 03,150202,2019-01-01,Backhoe Loader 3DX : HAR3DXSUAJ1609822/H00195772,985000000,2024-09-30,-707968721.0
3514,BL 04,Backho Loader 04,150203,2019-01-01,Backhoe Loader 3DX : HAR3DXSUEJ1609906/H00199901,985000000,2024-09-30,-707968721.0
3515,0,0,150204,2019-01-02,Tipping Trailer 9.00-20,228000000,2024-09-30,-163875000.0
3516,KB 8417 VA,Mobil KB 8417 VA,150205,2019-05-31,HILUX G MT DIESEL 2019 No.RK/MSN XK1208532/4635480,457761800,2024-09-30,-309942882.0
3517,KB 8419 VA,Mobil KB 8419 VA,150206,2019-05-31,HILUX G MT DIESEL 2019 No.RK/MSN 4K1120964/4642261,457761800,2024-09-30,-309942882.0
3518,KB 8418 VA,Mobil KB 8418 VA,150207,2019-05-31,HILUX G MT DIESEL 2019 No.RK/MSN 7K1120991/4645194,438261800,2024-09-30,-296739757.0
3519,DT 12,Dump Truck 12,150208,2019-11-01,Hino Dutro 130HD No.MJEC1JG43K5182412/W04DTRR72303,344181818,2024-09-30,-211528441.0
3520,DT 11,Dump Truck 11,150209,2019-11-01,Hino Dutro 130HD No.MJEC1JG43K5182411/W04DTRR72302,344181818,2024-09-30,-211528441.0
3521,DT 10,Dump Truck 10,150210,2019-11-01,Hino Dutro 130HD No.MJEC1JG43K5182410/W04DTRR72301,344181818,2024-09-30,-211528441.0
3522,DT 09,Dump Truck 09,150211,2019-11-01,Hino Dutro 130HD No.MJEC1JG43K5182409/W04DTRR72295,344181818,2024-09-30,-211528441.0
3523,DT 08,Dump Truck 08,150212,2019-11-01,Hino Dutro 130HD No.MJEC1JG43K5182408/W04DTRR72294,344181819,2024-09-30,-211528441.0
3524,DT 14,Dump Truck 14,150213,2019-11-01,Hino Dutro 130HD No.MJEC1JG43K5182414/W04DTRR72305,344181819,2024-09-30,-211528441.0
3525,DT 13,Dump Truck 13,150214,2019-11-01,Hino Dutro 130HD No.MJEC1JG43K5182413/W04DTRR72304,344181819,2024-09-30,-211528441.0
3526,WL 01,Wheel Loader 01,150215,2019-11-28,WHEEL LOADER 924K CL2 KW402112 PO 1277,2000000000,2024-09-30,-1229166696.0
3527,Exca 06,Excavator 06,150216,2019-11-28,EXCAVATOR 10T (313D2 LGP) MES10284 PO 1277,1091000000,2024-09-30,-670510446.0
3528,Exca 05,Excavator 05,150217,2019-11-28,EXCAVATOR 10T (313D2 LGP) MES10287 PO 1277,1091000000,2024-09-30,-670510446.0
3529,Exca 04,Excavator 04,150218,2019-11-28,EXCAVATOR 20T (320) YBP00998 PO 1277,1600300000,2024-09-30,-983517679.0
3530,CP 02,Compactor 02,150219,2019-11-28,COMPACTOR CS11GC RK800289 PO 1277,856000000,2024-09-30,-526083304.0
3531,MG 03,Motor Greader 03,150220,2019-11-28,MOTOR GRADER 120K SZN20204 PO 1277,2061500000,2024-09-30,-1266963571.0
3532,KB 8641 VA,Mobil KB 8641 VA,150221,2020-04-08,Toyota Hilux Double Cabin 2.4G MR0KB8CD1-L1210817,412643848,2024-09-30,-232112190.0
3533,KB 8638 VA,Mobil KB 8638 VA,150222,2020-04-22,Toyota Hilux Double Cabin 2.4G MR0KB8CD2-L1210891,412643848,2024-09-30,-232112190.0
3534,KB 8639 VA,Mobil KB 8639 VA,150223,2020-04-22,Toyota Hilux Double Cabin 2.4G MR0KB8CD2-L1210888,412643848,2024-09-30,-232112190.0
3535,Exca 07,Excavator 07,150224,2020-06-08,EXCAVATOR 20T NO. SERI: YBP01063 PO 0477,1670000000,2024-09-30,-904583362.0
3536,MG 04,Motor Greader 04,150225,2020-06-08,MOTOR GRADER 120K NO. SERI: E9600207 PO 0477,2308000000,2024-09-30,-1250166638.0
3537,CP 03,Compactor 03,150226,2020-06-08,COMPACTOR CS11GC NO. SERI: RK800558 PO 0477,900000000,2024-09-30,-487500000.0
3538,FOR 01,Forklift 01,150227,2020-06-08,FORKLIFT DP30ND NO. SERI: CT14E-20721 PO 0477,301000000,2024-09-30,-163041638.0
3539,DAMKAR 02,Damkar 02,150228,2020-06-24,Truk Hino Dutro 130HD MJEC1JG43L5187994 PO 0056,363909090,2024-09-30,-197117394.0
3540,DT 15,Dump Truck 15,150229,2020-06-12,Truk Hino Dutro 130 HD MJEC1JG43L5188597 PO 0480,369981818,2024-09-30,-200406850.0
3541,DT 16,Dump Truck 16,150230,2020-06-12,Truk Hino Dutro 130HD MJEC1JG43L5188600 PO 0480,369981818,2024-09-30,-200406850.0
3542,DT 17,Dump Truck 17,150231,2020-06-12,Truk Hino Dutro 130HD MJEC1JG43L5188602 PO 0480,369981818,2024-09-30,-200406850.0
3543,DT 18,Dump Truck 18,150232,2020-06-12,Truk Hino Dutro 130 HD MJEC1JG43L5188603 PO 0480,369981818,2024-09-30,-200406850.0
3544,DT 19,Dump Truck 19,150233,2020-06-12,Truk Hino Dutro 130 HD MJEC1JG43L5188604 PO 0480,369981818,2024-09-30,-200406850.0
3545,TR 01,Tronton 01,150234,2020-07-15,Tronton Hino FM 260 JW MJEC1JG43L5188603 PO 0406,1271418182,2024-09-30,-675440935.0
3546,Exca 08,Excavator Mini 08,150235,2020-11-26,EXCAVATOR CAT 305.5E2 MINI 7LD2957 PO 1124,620000000,2024-09-30,-303541696.0
3547,CP 04,Compactor 04,150236,2021-03-27,Sakai Vibrating Roller SV526D ID 25V70-10269 PO176,860000000,2024-09-30,-385208333.3333327
3548,MG 05,Motor Greader 05,150237,2021-04-30,Komatsu Motor Grader GD535-5 J10185 PO 0187,2050000000,2024-09-30,-896875000.0000014
3549,Exca 09,Excavator Mini 09,150238,2021-04-28,Mini Excavator Catterpillar M13C00305.5E2 PO 0174,628100000,2024-09-30,-274793750.0000004
3550,WT 22,Wheel Tractor 22,150239,2021-05-05,Mini Tractor Kioti Ex 55 WCOBOOO12 PO 0102,265000000,2024-09-30,-113177083.3333334
3551,WT 23,Wheel Tractor 23,150240,2021-05-05,Mini Tractor Kioti Ex 55 WCOBOOO14 PO 0102,265000000,2024-09-30,-113177083.3333334
3552,0,0,150241,2021-05-05,Scissor Lift Trailer Cap 1.5-2 Ton PO 0036,53000000,2024-09-30,-22635416.66666663
3553,0,0,150242,2021-05-05,Scissor Lift Trailer Cap 1.5-2 Ton PO 0036,53000000,2024-09-30,-22635416.66666663
3554,WT 22,Wheel Tractor 22,150243,2021-05-05,Hyva Crane HB 10 (Grabber) PO 0037,165000000,2024-09-30,-70468750.0
3555,WT 23,Wheel Tractor 23,150244,2021-05-05,Hyva Crane HB 10 (Grabber) PO 0037,165000000,2024-09-30,-70468750.0
3556,BL 05,Backho Loader 05,150245,2021-05-12,Backhoe Loader JCB 3DX-4T-CM H00291096 PO 0175,1000000000,2024-09-30,-427083333.3333327
3557,BIN 01,BIN System 01,150246,2021-06-21,Truck Hino Dutro 130 HD MJEC1JG43L5191023 PO 0017,481818181,2024-09-30,-200757575.41666695
3558,BIN 01,BIN System 01,150247,2021-06-21,Bak Bin System Incl. Transport PO 0020,215306120,2024-09-30,-89710883.3333332
3559,KB 8890 VA,Mobil KB 8890 VA,150248,2021-06-24,Toyota Hilux SC 2.4 MR0DB8CB5-M0110752 PO 0327,318500000,2024-09-30,-132708333.33333318
3560,KB 8892 VA,Mobil KB 8892 VA,150249,2021-06-24,Toyota Hilux SC 2.4 MR0DB8CB5-M0110735 PO 0327,318500000,2024-09-30,-132708333.33333318
3561,KB 8891 VA,Mobil KB 8891 VA,150250,2021-06-24,Toyota Hilux SC 2.4 MR0DB8CB8-M0110793 PO 0327,318500000,2024-09-30,-132708333.33333318
3562,DT 21,Dump Truck 21,150251,2021-10-12,Mitsubishi FE SHD-X 136 PS MHMFE75PRMK035075 PO721,420436364,2024-09-30,-157663636.50000024
3563,DT 22,Dump Truck 22,150252,2021-10-12,Mitsubishi FE SHD-X 136 PS MHMFE75PRMK035076 PO721,420436364,2024-09-30,-157663636.50000024
3564,DT 23,Dump Truck 23,150253,2021-10-12,Mitsubishi FE SHD-X 136 PS MHMFE75PRMK035078 PO721,420436364,2024-09-30,-157663636.50000024
3565,DT 20,Dump Truck 20,150254,2021-10-12,Mitsubishi FE SHD-X 136 PS MHMFE75PRMK035054 PO721,420436364,2024-09-30,-157663636.50000024
3566,Exca 10,Excavator 10,150255,2022-02-11,Excavator CAT 313D2 CAT-MFX11679 LKR00254 PO 1395,1210000000,2024-09-30,-403333333.3333338
3567,Exca 11,Excavator 11,150256,2022-02-11,Excavator CAT 313D2 CAT-MFX11678 LKR00256 PO 1395,1210000000,2024-09-30,-403333333.3333338
3568,Exca 12,Excavator Mini 12,150257,2022-03-11,Excavator Mini Caterpilar 305.5E2 WE216651 PO 1396,668500000,2024-09-30,-215869791.66666687
3569,Exca 13,Excavator Mini 13,150258,2022-03-11,Excavator Mini Caterpilar 305.5E2 WE216656 PO 1396,668500000,2024-09-30,-215869791.66666687
3570,Exca 14,Excavator Mini 14,150259,2022-03-11,Excavator Mini Caterpilar 305.5E2 WE216682 PO 1396,668500000,2024-09-30,-215869791.66666687
3571,Exca 15,Excavator Mini 15,150260,2022-03-11,Excavator Mini Caterpilar 305.5E2 WE216693 PO 1396,668500000,2024-09-30,-215869791.66666687
3572,WT 24,Wheel Tractor 24,150261,2022-03-11,Wheel Tractor Kioti PX 9020 S/N XW8000056 PO 0009,440000000,2024-09-30,-142083333.33333352
3573,WT 25,Wheel Tractor 25,150262,2022-03-11,Wheel Tractor Kioti PX 9020 S/N XW8000053 PO 0009,440000000,2024-09-30,-142083333.33333352
3574,WT 26,Wheel Tractor 26,150263,2022-03-11,Wheel Tractor Kioti PX 9020 S/N XW8000047 PO 0009,440000000,2024-09-30,-142083333.33333352
3575,WT 27,Wheel Tractor 27,150264,2022-03-11,Wheel Tractor Kioti PX 9020 S/N XW8000046 PO 0009,440000000,2024-09-30,-142083333.33333352
3576,0,0,150265,2022-03-25,Honda CB150X STD MH1KCE118NK006042 PO 0294,30359182,2024-09-30,-19606971.70833335
3577,0,0,150266,2022-03-25,Honda CB150X STD MH1KCE11XN005510 PO 0294,30359182,2024-09-30,-19606971.70833335
3578,0,0,150267,2022-03-25,Honda CB150X STD MH1KCE113NK006588 PO 0294,30359182,2024-09-30,-19606971.70833335
3579,KB 8167 VB,Mobil KB 8167 VB,150268,2022-04-07,Toyota Hilux DC 2.4 MRK0KB8CD7-N1130070 PO 0150,422500000,2024-09-30,-132031249.99999982
3580,KB 8166 VB,Mobil KB 8166 VB,150269,2022-04-07,Toyota Hilux DC 2.4 MRK0KB8CD9-N1215007 PO 0150,422500000,2024-09-30,-132031249.99999982
3581,KB 8183 VB,Mobil KB 8183 VB,150270,2022-04-07,Toyota Hilux DC 2.4 MRK0KB8CD3-N1130308 PO 0150,422500000,2024-09-30,-132031249.99999982
3582,BIN 02,BIN System 02,150271,2022-04-07,Bak Bin System (No. 6) PO 1169,44400000,2024-09-30,-13875000.0
3583,BIN 02,BIN System 02,150272,2022-04-07,Bak Bin System (No. 7) PO 1169,44400000,2024-09-30,-13875000.0
3584,BIN 02,BIN System 02,150273,2022-04-07,Bak Bin System (No. 8) PO 1169,44400000,2024-09-30,-13875000.0
3585,BIN 02,BIN System 02,150274,2022-04-07,Bak Bin System (No. 9) PO 1169,44400000,2024-09-30,-13875000.0
3586,BIN 02,BIN System 02,150275,2022-04-07,Bak Bin System (No. 10) PO 1169,44400000,2024-09-30,-13875000.0
3587,BIN 03,BIN System 03,150276,2022-04-07,Bak Bin System (No. 11) PO 1169,44400000,2024-09-30,-13875000.0
3588,BIN 03,BIN System 03,150277,2022-04-07,Bak Bin System (No. 12) PO 1169,44400000,2024-09-30,-13875000.0
3589,BIN 03,BIN System 03,150278,2022-04-07,Bak Bin System (No. 13) PO 1169,44400000,2024-09-30,-13875000.0
